LocationID,LocationName,LocationIsLock,LocationVisitCount,LocationDescription
string,string,Bool,int,String
ID,게임에 나올 이름,장소 잠금여부 (true 는 잠김),장소 방문 횟수,장소에 대한 설명
Loc001,1-1반,FALSE,0,1-1반. 친한 친구들이 많던 교실이다. 지금은 책상만 어지럽게 밀려 있다.
Loc002,1-2반,FALSE,0,1-2반. 칠판에 누가 분필로 화살표를 남겨놨다. 무언가를 가리키는 듯하다.
Loc003,1-3반,FALSE,0,1-3반. 바닥에 깨진 유리가 흩어져 있다. 급하게 떠난 흔적.
Loc004,1학년 복도,FALSE,0,1학년 복도. 형광등 하나가 힘없이 깜빡인다. 자꾸 발소리를 죽이게 된다.
Loc005,급식실,FALSE,0,급식실. 넓고 트여 있어 숨을 곳이 없다. 식판이 바닥에 나뒹군다.
Loc006,화장실,FALSE,0,화장실. 수도꼭지를 틀어도 물이 나오지 않는다. 괜히 목이 더 마르다.
Loc007,보건실,FALSE,0,보건실. 약장이 절반쯤 비어 있다. 누가 먼저 다녀갔다.
Loc008,도서관,FALSE,0,도서관. 책장 사이에 누군가 오래 머문 흔적이 있다. 침낭과 빈 통조림.
Loc009,과학실,TRUE,0,과학실. 문이 잠겨 있다. 약품 냄새가 문틈으로 새어 나온다.
Loc010,체육관,FALSE,0,체육관. 내가 잠들었던 곳. 몸을 숨기기 좋은 안전한 구석이 있다.
Loc011,2-1반,TRUE,0,2-1반. 2학년 교실은 한 층 위다. 올라가는 길이 막혀 있었다.
Loc012,2-2반,TRUE,0,2-2반. 칠판에 이름이 줄줄이 적혀 있다. 절반은 줄이 그어져 있다.
Loc013,2-3반,TRUE,0,2-3반. 사물함이 전부 열린 채 텅 비어 있다.
Loc014,2학년 복도,TRUE,0,2학년 복도. 바리케이드 흔적이 가장 짙게 남은 곳.
Loc015,방송실,TRUE,0,방송실. 문이 잠겨 있다. 안에서 희미한 잡음이 새어 나온다.
Loc016,컴퓨터실,TRUE,0,컴퓨터실. 잠긴 문 너머로 깨진 모니터들이 보인다.
Loc017,교무실,TRUE,0,교무실. 굳게 잠겨 있다. 선생님들의 자리는 그대로 비어 있다.
Loc018,음악실,TRUE,0,음악실. 방음문이 닫혀 있다. 안은 분명 더 조용할 것이다.
Loc019,미술실,TRUE,0,미술실. 말라붙은 물감과 엎어진 이젤들.
Loc020,매점,TRUE,0,매점. 셔터가 반쯤 내려와 있다. 먹을 게 남아 있을지도.
Loc021,3-1반,TRUE,0,"3-1반. 3학년 교실. 가장 위층, 가장 깊은 곳이다."
Loc022,3-2반,TRUE,0,3-2반. 창문 너머로 옥상으로 이어지는 외벽이 보인다.
Loc023,3-3반,TRUE,0,3-3반. 책상으로 쌓은 농성 흔적이 가장 단단하게 남아 있다.
Loc024,3학년 복도,TRUE,0,3학년 복도. 천장 배선이 노출돼 있다. 무언가의 중심에 가까워진 느낌.
Loc025,4층 복도,TRUE,0,4층 복도. 학생은 잘 오지 않던 곳. 묵직한 발소리가 더 자주 들린다.
Loc026,통제실,TRUE,0,통제실. 학교의 모든 전선이 이 방으로 모인다. AI의 심장.
Loc027,옥상 계단,TRUE,0,옥상으로 가는 계단. 책상과 사물함으로 단단히 막혀 있다.
Loc028,행정실,TRUE,0,행정실. 마스터 열쇠 캐비닛이 있던 곳. 한 칸이 비어 있다.
Loc029,숙직실,TRUE,0,숙직실. 누군가 마지막까지 버틴 흔적. 담요와 식은 컵라면.
Loc030,옥상,TRUE,0,옥상. 바깥으로 나가는 마지막 문. 쇠 자물쇠와 전자 잠금이 함께 걸려 있다.